Date,Open,High,Low,Close,Adj Close,Volume
2020-11-05,5.960000,6.560000,5.960000,6.540000,6.540000,4163400
2020-11-06,6.540000,6.990000,6.110000,6.240000,6.240000,4234300
2020-11-09,6.590000,7.100000,6.480000,6.870000,6.870000,5967600
2020-11-10,7.450000,7.740000,7.020000,7.310000,7.310000,4971000
2020-11-11,7.380000,7.380000,6.990000,7.250000,7.250000,3101500
2020-11-12,7.140000,7.470000,6.960000,7.370000,7.370000,2937700
2020-11-13,7.470000,7.490000,6.980000,7.200000,7.200000,2936000
2020-11-16,7.370000,7.420000,7.080000,7.110000,7.110000,2290000
2020-11-17,7.010000,7.200000,6.890000,7.190000,7.190000,2366000
2020-11-18,7.240000,7.310000,7.080000,7.090000,7.090000,2225700
2020-11-19,7.070000,7.580000,7.010000,7.550000,7.550000,3910900
2020-11-20,7.480000,7.640000,7.360000,7.420000,7.420000,2202900
2020-11-23,7.500000,7.730000,7.440000,7.680000,7.680000,2171000
2020-11-24,7.800000,8.410000,7.790000,8.400000,8.400000,4572500
2020-11-25,8.280000,8.950000,8.160000,8.640000,8.640000,5188900
2020-11-27,8.700000,8.890000,8.220000,8.580000,8.580000,2640700
2020-11-30,8.650000,9.380000,8.600000,9.150000,9.150000,6637300
2020-12-01,9.300000,9.320000,8.790000,9.050000,9.050000,3804600
2020-12-02,8.950000,9.870000,8.930000,9.700000,9.700000,4495200
2020-12-03,9.810000,10.170000,9.530000,10.130000,10.130000,4259100
2020-12-04,10.260000,10.560000,10.090000,10.460000,10.460000,3021800
2020-12-07,10.540000,10.680000,10.170000,10.210000,10.210000,3236600
2020-12-08,10.010000,10.530000,9.950000,10.350000,10.350000,1964600
2020-12-09,10.430000,10.790000,10.180000,10.360000,10.360000,2842800
2020-12-10,10.250000,10.370000,9.980000,10.330000,10.330000,1786900
2020-12-11,10.020000,10.240000,9.720000,9.900000,9.900000,2108700
2020-12-14,10.090000,10.460000,10.020000,10.360000,10.360000,2441900
2020-12-15,10.500000,10.660000,10.330000,10.660000,10.660000,2098300
2020-12-16,10.690000,10.960000,10.600000,10.800000,10.800000,2007100
2020-12-17,10.830000,11.580000,10.730000,11.550000,11.550000,3637400
2020-12-18,11.590000,11.820000,10.830000,10.860000,10.860000,7993500
2020-12-21,10.500000,11.070000,10.400000,11.030000,11.030000,2537300
2020-12-22,10.990000,11.970000,10.970000,11.900000,11.900000,2998300
2020-12-23,11.940000,12.770000,11.900000,12.220000,12.220000,23594500
2020-12-24,12.410000,12.420000,11.480000,11.550000,11.550000,2027200
2020-12-28,11.890000,11.930000,11.090000,11.220000,11.220000,3935700
2020-12-29,11.290000,11.300000,10.120000,10.150000,10.150000,4500100
2020-12-30,10.350000,10.750000,10.320000,10.690000,10.690000,2990800
2020-12-31,10.680000,10.910000,10.430000,10.480000,10.480000,2201400
2021-01-04,10.730000,10.810000,10.280000,10.470000,10.470000,2383700
2021-01-05,10.380000,11.110000,10.370000,10.890000,10.890000,2105000
2021-01-06,10.860000,11.500000,10.790000,11.240000,11.240000,3040400
2021-01-07,12.360000,25.330000,12.360000,22.959999,22.959999,193334300
